mirna_info	isomiR_rpm_embryo	miRNA_rpm_embryo	Total_rpm_embryo	isomiR_rpm_L1	miRNA_rpm_L1	Total_rpm_L1	isomiR_rpm_L2	miRNA_rpm_L2	Total_rpm_L2	isomiR_rpm_L3	miRNA_rpm_L3	Total_rpm_L3	isomiR_rpm_L4	miRNA_rpm_L4	Total_rpm_L4	isomiR_rpm_YA	miRNA_rpm_YA	Total_rpm_YA	isomiR_rpm_dauer	miRNA_rpm_dauer	Total_rpm_dauer
cel-miR-56-3p	1180.21698691277	26509.5133544271	27689.7303413399	1436.7090960725	6947.02085767467	8383.72995374718	1347.85857951519	9572.47589847794	10920.3344779931	557.49245866425	4733.31571240975	5290.808171074	394.803449779161	3224.17240999736	3618.97585977652	307.437294089996	2393.02988194837	2700.46717603836	1799.76757456683	43958.97635004	45758.7439246069
cel-miR-54-3p	2746.57853042534	28670.2930404653	31416.8715708906	3381.43194696153	8710.11811201142	12091.5500589729	2455.05193635505	8086.35148189111	10541.4034182462	733.701694545485	3078.62707832501	3812.32877287049	668.489231066749	2722.13632830784	3390.62555937459	652.149710746698	2203.68545404316	2855.83516478985	3019.37129121442	33071.8803014312	36091.2515926456
cel-miR-2-3p	14140.6638113283	18252.3824523627	32393.046263691	250.763563184112	382.552867999484	633.316431183596	291.731582943836	448.663974682819	740.395557626654	211.283264737595	435.488540106481	646.771804844076	183.516688308364	469.749189398256	653.26587770662	148.275819413577	339.26958902528	487.545408438857	12158.8838159688	45621.6681727358	57780.5519887045
cel-miR-66-5p	349.943504418566	3091.9773140073	3441.92081842587	1449.20772161922	9782.3103313797	11231.5180529989	2419.45214995377	14515.7795719892	16935.231721943	4029.31786048424	16345.8399936229	20375.1578541071	3497.02174329813	15434.4728320021	18931.4945753002	3168.55035234062	13986.5826052177	17155.1329575583	298.073604068705	4929.32871728534	5227.40232135404
cel-miR-90-3p	4335.0368200745	20102.3972618841	24437.4340819586	1812.14249382386	5866.44348445859	7678.58597828245	2153.32041341085	7704.88710401071	9858.20751742156	796.633564503069	3621.35152483921	4417.98508934228	668.321941469385	2958.34923978588	3626.67118125527	582.547490732761	1939.95571517518	2522.50320590794	7920.12050810965	31639.9414818852	39560.0619899949
cel-miR-55-3p	613.06716940682	16330.4356820137	16943.5028514205	1007.00951398541	5127.60068315272	6134.61019713813	1388.65833471666	9439.14336513981	10827.8016998565	630.661246134934	5308.09345802235	5938.75470415728	530.642602838771	4365.58933281228	4896.23193565105	408.706874868568	2994.70973647643	3403.416611345	1396.26736905905	39587.7946903734	40984.0620594325
cel-miR-61-3p	214.385451878458	3440.66710233301	3655.05255421147	1930.64212084272	16417.6566026363	18348.298723479	2416.51883422033	21196.0061572964	23612.5249915167	2687.44257466866	11436.6506819717	14124.0932566404	2334.19175202061	8397.26862928592	10731.4603813065	2034.79286329844	9518.5159223325	11553.3087856309	159.939352183172	3290.87654492046	3450.81589710364
cel-miR-48-5p	25.5444653919508	285.847269171278	311.391734563229	90.9710087260974	699.923030616095	790.894039342193	1404.92490378391	8807.81381978375	10212.7387235677	4475.21113642371	25592.1259644309	30067.3371008546	2696.03915111905	18794.3171054617	21490.3562565808	2447.78802660388	13652.0961071412	16099.8841337451	32.1784004392352	266.212753633804	298.391154073039
cel-miR-86-5p	2011.27404196501	18329.1725630502	20340.4466050152	556.900783853674	3103.93081773444	3660.83160158812	899.594602432385	4160.64170281645	5060.23630524884	663.889273472539	2146.89976631299	2810.78903978553	545.698666601535	1506.94469305537	2052.64335965691	328.878736274384	1077.02013433888	1405.89887061327	6045.94038252709	37626.6058636032	43672.5462461303
cel-miR-238-3p	428.927618268524	6818.64840002319	7247.57601829172	1623.23921657349	5349.72815489436	6972.96737146785	2163.72035101123	7595.02109654009	9758.74144755131	1375.43894979295	6076.7013631043	7452.14031289726	1167.01223121162	5230.1419719897	6397.15420320132	1105.71868003183	4551.52337323366	5657.24205326549	2252.59388074791	32540.8308441823	34793.4247249302
